State,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,
ALABAMA Metropolitan Counties ,Autauga,28.0,0.0,5.0,4.0,19.0,421.0,138.0,243.0,40.0,,
ALABAMA Metropolitan Counties ,Bibb,11.0,0.0,1.0,0.0,10.0,78.0,29.0,46.0,3.0,,
ALABAMA Metropolitan Counties ,Chilton,291.0,1.0,8.0,2.0,280.0,454.0,151.0,296.0,7.0,,
ALABAMA Metropolitan Counties ,Colbert,170.0,0.0,9.0,6.0,155.0,624.0,137.0,477.0,10.0,,
ALABAMA Metropolitan Counties ,Geneva,23.0,3.0,1.0,0.0,19.0,173.0,69.0,85.0,19.0,,
ALABAMA Metropolitan Counties ,Hale,58.0,1.0,6.0,12.0,39.0,242.0,88.0,134.0,20.0,,
ALABAMA Metropolitan Counties ,Henry,21.0,0.0,3.0,3.0,15.0,165.0,57.0,86.0,22.0,,
ALABAMA Metropolitan Counties ,Houston,12.0,3.0,0.0,2.0,7.0,477.0,100.0,319.0,58.0,,
ALABAMA Metropolitan Counties ,Jefferson,557.0,3.0,48.0,221.0,285.0,5320.0,1844.0,2932.0,544.0,30.0,
ALABAMA Metropolitan Counties ,Lawrence,39.0,0.0,2.0,4.0,33.0,449.0,143.0,286.0,20.0,,
ALABAMA Metropolitan Counties ,Limestone,19.0,0.0,3.0,2.0,14.0,240.0,50.0,150.0,40.0,,
ALABAMA Metropolitan Counties ,Lowndes,28.0,1.0,2.0,7.0,18.0,133.0,103.0,22.0,8.0,,
ALABAMA Metropolitan Counties ,Madison,216.0,4.0,21.0,31.0,160.0,2176.0,588.0,1311.0,277.0,,
ALABAMA Metropolitan Counties ,Mobile,245.0,7.0,29.0,80.0,129.0,2624.0,783.0,1572.0,269.0,,
ALABAMA Metropolitan Counties ,Montgomery,66.0,0.0,4.0,16.0,46.0,719.0,219.0,426.0,74.0,,
ALABAMA Metropolitan Counties ,Morgan,24.0,0.0,4.0,4.0,16.0,407.0,196.0,166.0,45.0,,
ALABAMA Metropolitan Counties ,Russell,21.0,1.0,2.0,4.0,14.0,105.0,50.0,43.0,12.0,,
ALABAMA Metropolitan Counties ,Shelby,83.0,0.0,12.0,18.0,53.0,961.0,341.0,545.0,75.0,,
ALABAMA Metropolitan Counties ,Tuscaloosa,280.0,4.0,25.0,58.0,193.0,2278.0,633.0,1388.0,257.0,,
ALABAMA Metropolitan Counties ,Walker,26.0,0.0,3.0,3.0,20.0,688.0,222.0,442.0,24.0,,
ALABAMA Nonmetropolitan Counties,Baldwin,134.0,0.0,23.0,6.0,105.0,993.0,316.0,610.0,67.0,,
ALABAMA Nonmetropolitan Counties,Barbour,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,
ALABAMA Nonmetropolitan Counties,Bullock,31.0,0.0,0.0,2.0,29.0,140.0,64.0,76.0,0.0,,
ALABAMA Nonmetropolitan Counties,Chambers,24.0,0.0,3.0,1.0,20.0,163.0,53.0,107.0,3.0,,
ALABAMA Nonmetropolitan Counties,Cherokee,8.0,0.0,6.0,0.0,2.0,249.0,66.0,182.0,1.0,,
ALABAMA Nonmetropolitan Counties,Clarke,4.0,0.0,0.0,0.0,4.0,13.0,5.0,6.0,2.0,,
ALABAMA Nonmetropolitan Counties,Clay,7.0,0.0,0.0,0.0,7.0,130.0,47.0,82.0,1.0,,
ALABAMA Nonmetropolitan Counties,Cleburne,24.0,0.0,7.0,3.0,14.0,209.0,76.0,108.0,25.0,,
ALABAMA Nonmetropolitan Counties,Coffee,16.0,0.0,0.0,2.0,14.0,163.0,72.0,89.0,2.0,,
ALABAMA Nonmetropolitan Counties,Conecuh,0.0,0.0,0.0,0.0,0.0,14.0,4.0,10.0,0.0,,
ALABAMA Nonmetropolitan Counties,Coosa,25.0,1.0,7.0,4.0,13.0,173.0,57.0,107.0,9.0,,
ALABAMA Nonmetropolitan Counties,Crenshaw,27.0,0.0,1.0,3.0,23.0,189.0,45.0,118.0,26.0,,
ALABAMA Nonmetropolitan Counties,Cullman,108.0,2.0,24.0,7.0,75.0,1495.0,470.0,908.0,117.0,,
