State,County,Violent Crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property Crime,Burglary,Larceny-theft,Motor Vehicle Theft,Arson1,
ALABAMA - Metropolitan Counties,Bibb,20.0,1.0,2.0,2.0,15.0,131.0,64.0,57.0,10.0,,
ALABAMA - Metropolitan Counties,Calhoun,48.0,0.0,23.0,8.0,17.0,862.0,316.0,539.0,7.0,,
ALABAMA - Metropolitan Counties,Chilton,455.0,0.0,19.0,3.0,433.0,581.0,182.0,397.0,2.0,,
ALABAMA - Metropolitan Counties,Etowah,11.0,0.0,7.0,2.0,2.0,335.0,125.0,188.0,22.0,,
ALABAMA - Metropolitan Counties,Geneva2,3,,0.0,3.0,0.0,,,,116.0,9.0,,
ALABAMA - Metropolitan Counties,Hale,63.0,1.0,1.0,9.0,52.0,220.0,111.0,98.0,11.0,,
ALABAMA - Metropolitan Counties,Henry,36.0,1.0,2.0,1.0,32.0,103.0,41.0,52.0,10.0,,
ALABAMA - Metropolitan Counties,Jefferson,505.0,5.0,46.0,210.0,244.0,6131.0,2334.0,3260.0,537.0,22.0,
ALABAMA - Metropolitan Counties,Lauderdale,35.0,3.0,9.0,2.0,21.0,798.0,300.0,460.0,38.0,,
ALABAMA - Metropolitan Counties,Lawrence2,,1.0,3.0,3.0,,387.0,74.0,298.0,15.0,,
ALABAMA - Metropolitan Counties,Lee,95.0,3.0,25.0,15.0,52.0,1662.0,717.0,860.0,85.0,,
ALABAMA - Metropolitan Counties,Limestone,47.0,2.0,9.0,10.0,26.0,639.0,208.0,395.0,36.0,,
ALABAMA - Metropolitan Counties,Lowndes,54.0,1.0,2.0,8.0,43.0,352.0,172.0,176.0,4.0,,
ALABAMA - Metropolitan Counties,Madison,323.0,3.0,22.0,70.0,228.0,2198.0,750.0,1268.0,180.0,,
ALABAMA - Metropolitan Counties,Montgomery,76.0,0.0,5.0,9.0,62.0,673.0,222.0,369.0,82.0,,
ALABAMA - Metropolitan Counties,Russell,110.0,1.0,9.0,11.0,89.0,348.0,164.0,166.0,18.0,,
ALABAMA - Metropolitan Counties,Shelby,92.0,1.0,23.0,9.0,59.0,1070.0,417.0,587.0,66.0,,
ALABAMA - Metropolitan Counties,St. Clair,24.0,1.0,4.0,4.0,15.0,331.0,139.0,174.0,18.0,,
ALABAMA - Metropolitan Counties,Tuscaloosa,230.0,4.0,23.0,28.0,175.0,1798.0,556.0,1049.0,193.0,,
ALABAMA - Metropolitan Counties,Walker,22.0,0.0,5.0,8.0,9.0,504.0,127.0,324.0,53.0,,
ALABAMA - Nonmetropolitan Counties,Baldwin,101.0,1.0,4.0,8.0,88.0,665.0,261.0,362.0,42.0,,
ALABAMA - Nonmetropolitan Counties,Barbour2,17.0,0.0,5.0,0.0,12.0,,40.0,,6.0,,
ALABAMA - Nonmetropolitan Counties,Bullock,28.0,1.0,0.0,0.0,27.0,105.0,56.0,49.0,0.0,,
ALABAMA - Nonmetropolitan Counties,Butler,37.0,0.0,3.0,0.0,34.0,215.0,94.0,111.0,10.0,,
ALABAMA - Nonmetropolitan Counties,Cherokee,15.0,0.0,2.0,0.0,13.0,79.0,14.0,56.0,9.0,,
ALABAMA - Nonmetropolitan Counties,Choctaw,5.0,0.0,0.0,0.0,5.0,31.0,17.0,14.0,0.0,,
ALABAMA - Nonmetropolitan Counties,Clarke,44.0,3.0,5.0,0.0,36.0,52.0,45.0,5.0,2.0,,
ALABAMA - Nonmetropolitan Counties,Cleburne,29.0,2.0,4.0,0.0,23.0,267.0,100.0,153.0,14.0,,
ALABAMA - Nonmetropolitan Counties,Coffee,21.0,0.0,2.0,3.0,16.0,166.0,56.0,90.0,20.0,,
ALABAMA - Nonmetropolitan Counties,Conecuh,36.0,1.0,3.0,4.0,28.0,91.0,17.0,68.0,6.0,,
ALABAMA - Nonmetropolitan Counties,Coosa,17.0,0.0,0.0,3.0,14.0,252.0,118.0,127.0,7.0,,
