State,County,Violent crime,Murder and nonnegligent manslaughter,Rape(revised definition)1,Rape(legacydefinition)2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson3
ALABAMA - Metropolitan Counties,Autauga,57,0,,5,2,50,282,18,231,33,
ALABAMA - Metropolitan Counties,Bibb,19,0,,2,4,13,154,67,79,8,
ALABAMA - Metropolitan Counties,Calhoun,38,0,,8,7,23,813,286,525,2,
ALABAMA - Metropolitan Counties,Etowah,62,1,,4,0,57,485,73,383,29,
ALABAMA - Metropolitan Counties,Geneva,51,1,,8,2,40,265,13,229,23,
ALABAMA - Metropolitan Counties,Hale,21,0,,3,1,17,160,68,83,9,
ALABAMA - Metropolitan Counties,Henry,31,2,,3,2,24,111,40,54,17,
ALABAMA - Metropolitan Counties,Houston,66,0,,16,10,40,642,251,374,17,
ALABAMA - Metropolitan Counties,Jefferson,349,5,,51,109,184,5857,2345,3073,439,36
ALABAMA - Metropolitan Counties,Limestone,37,2,,6,5,24,569,181,342,46,
ALABAMA - Metropolitan Counties,Madison,308,7,,17,55,229,2420,839,1421,160,9
ALABAMA - Metropolitan Counties,Mobile,250,5,,28,30,187,2190,770,1223,197,
ALABAMA - Metropolitan Counties,Morgan,40,0,,6,7,27,406,257,145,4,
ALABAMA - Metropolitan Counties,Russell,110,0,,5,3,102,429,167,221,41,
ALABAMA - Metropolitan Counties,Shelby,222,1,,19,14,188,1291,323,862,106,
ALABAMA - Metropolitan Counties,St. Clair,13,1,,2,0,10,309,186,113,10,
ALABAMA - Metropolitan Counties,Tuscaloosa,190,2,,13,21,154,1753,611,1000,142,
ALABAMA - Metropolitan Counties,Walker2,3,0,,0,0,3,,78,,54,
ALABAMA - Nonmetropolitan Counties,Barbour3,1,0,,0,0,1,,,,1,
ALABAMA - Nonmetropolitan Counties,Butler2,28,1,,3,0,24,,,107,14,
ALABAMA - Nonmetropolitan Counties,Choctaw,4,0,,0,0,4,13,8,5,0,
ALABAMA - Nonmetropolitan Counties,Clarke,63,7,,5,2,49,43,26,9,8,
ALABAMA - Nonmetropolitan Counties,Clay,4,0,,0,0,4,5,1,4,0,
ALABAMA - Nonmetropolitan Counties,Cleburne,24,0,,9,1,14,189,78,94,17,
ALABAMA - Nonmetropolitan Counties,Coffee,21,0,,2,0,19,148,57,76,15,
ALABAMA - Nonmetropolitan Counties,Conecuh,32,0,,5,2,25,120,25,87,8,
ALABAMA - Nonmetropolitan Counties,Covington,36,0,,4,0,32,215,87,122,6,
ALABAMA - Nonmetropolitan Counties,Crenshaw2,34,0,,2,0,32,,,120,14,
ALABAMA - Nonmetropolitan Counties,Cullman,95,3,,14,6,72,1216,350,824,42,
ALABAMA - Nonmetropolitan Counties,Dale,29,0,,9,0,20,148,10,127,11,
ALABAMA - Nonmetropolitan Counties,Dallas,72,0,,5,6,61,454,143,276,35,
ALABAMA - Nonmetropolitan Counties,Escambia,27,1,,4,1,21,183,51,128,4,
ALABAMA - Nonmetropolitan Counties,Fayette3,7,0,,0,0,7,,,57,17,
