State,County,Violent crime,Murder and nonnegligent manslaughter,Rape(revised definition)1,Rape(legacydefinition)2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson3,
ALABAMA - Metropolitan Counties,Autauga,72.0,0.0,15.0,,3.0,54.0,444.0,160.0,238.0,46.0,,
ALABAMA - Metropolitan Counties,Baldwin,111.0,0.0,13.0,,27.0,71.0,674.0,250.0,380.0,44.0,,
ALABAMA - Metropolitan Counties,Bibb,8.0,0.0,0.0,,0.0,8.0,123.0,65.0,40.0,18.0,,
ALABAMA - Metropolitan Counties,Blount,91.0,0.0,9.0,,0.0,82.0,947.0,302.0,562.0,83.0,,
ALABAMA - Metropolitan Counties,Calhoun,28.0,0.0,7.0,,5.0,16.0,453.0,183.0,259.0,11.0,,
ALABAMA - Metropolitan Counties,Chilton,84.0,1.0,23.0,,1.0,59.0,604.0,228.0,332.0,44.0,,
ALABAMA - Metropolitan Counties,Elmore,69.0,0.0,18.0,,6.0,45.0,783.0,269.0,494.0,20.0,,
ALABAMA - Metropolitan Counties,Etowah,110.0,2.0,25.0,,3.0,80.0,607.0,261.0,310.0,36.0,,
ALABAMA - Metropolitan Counties,Geneva,36.0,1.0,10.0,,1.0,24.0,296.0,87.0,186.0,23.0,,
ALABAMA - Metropolitan Counties,Hale,39.0,0.0,3.0,,1.0,35.0,137.0,44.0,78.0,15.0,,
ALABAMA - Metropolitan Counties,Henry,27.0,2.0,4.0,,1.0,20.0,146.0,75.0,61.0,10.0,,
ALABAMA - Metropolitan Counties,Houston,103.0,0.0,25.0,,12.0,66.0,605.0,185.0,361.0,59.0,,
ALABAMA - Metropolitan Counties,Jefferson,705.0,5.0,81.0,,183.0,436.0,3678.0,1908.0,1664.0,106.0,31.0,
ALABAMA - Metropolitan Counties,Lawrence,65.0,2.0,9.0,,5.0,49.0,459.0,142.0,286.0,31.0,,
ALABAMA - Metropolitan Counties,Limestone,86.0,0.0,14.0,,5.0,67.0,787.0,263.0,468.0,56.0,,
ALABAMA - Metropolitan Counties,Lowndes,32.0,2.0,6.0,,1.0,23.0,213.0,99.0,88.0,26.0,,
ALABAMA - Metropolitan Counties,Madison,317.0,1.0,62.0,,30.0,224.0,2215.0,630.0,1418.0,167.0,,
