State,County,Violentcrime,Murder andnonnegligentmanslaughter,Rape(reviseddefinition)1,Rape(legacydefinition)2,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny-theft,Motorvehicletheft,Arson3,
ALABAMA - Metropolitan Counties,Autauga,68.0,2.0,8.0,,6.0,52.0,414.0,170.0,199.0,45.0,,
ALABAMA - Metropolitan Counties,Baldwin,98.0,0.0,4.0,,18.0,76.0,662.0,230.0,405.0,27.0,,
ALABAMA - Metropolitan Counties,Bibb,4.0,0.0,1.0,,0.0,3.0,82.0,42.0,34.0,6.0,,
ALABAMA - Metropolitan Counties,Blount,90.0,0.0,6.0,,1.0,83.0,923.0,311.0,524.0,88.0,,
ALABAMA - Metropolitan Counties,Calhoun,15.0,0.0,3.0,,1.0,11.0,471.0,200.0,266.0,5.0,,
ALABAMA - Metropolitan Counties,Chilton,79.0,0.0,18.0,,2.0,59.0,532.0,223.0,260.0,49.0,,
ALABAMA - Metropolitan Counties,Colbert,58.0,0.0,16.0,,4.0,38.0,436.0,131.0,264.0,41.0,,
ALABAMA - Metropolitan Counties,Elmore,52.0,0.0,13.0,,11.0,28.0,868.0,357.0,452.0,59.0,,
ALABAMA - Metropolitan Counties,Etowah,86.0,0.0,22.0,,3.0,61.0,615.0,239.0,326.0,50.0,,
ALABAMA - Metropolitan Counties,Geneva,52.0,2.0,7.0,,0.0,43.0,150.0,76.0,60.0,14.0,,
ALABAMA - Metropolitan Counties,Hale,14.0,0.0,1.0,,0.0,13.0,98.0,35.0,53.0,10.0,,
ALABAMA - Metropolitan Counties,Henry,19.0,0.0,3.0,,2.0,14.0,129.0,56.0,62.0,11.0,,
ALABAMA - Metropolitan Counties,Houston,80.0,1.0,20.0,,6.0,53.0,515.0,164.0,307.0,44.0,,
ALABAMA - Metropolitan Counties,Lawrence,66.0,1.0,11.0,,8.0,46.0,435.0,142.0,247.0,46.0,,
ALABAMA - Metropolitan Counties,Limestone,82.0,0.0,11.0,,2.0,69.0,585.0,188.0,362.0,35.0,,
ALABAMA - Metropolitan Counties,Lowndes,49.0,2.0,10.0,,3.0,34.0,241.0,114.0,106.0,21.0,,
ALABAMA - Metropolitan Counties,Madison,342.0,6.0,55.0,,50.0,231.0,2175.0,637.0,1370.0,168.0,,
ALABAMA - Metropolitan Counties,Mobile,139.0,3.0,26.0,,15.0,95.0,2079.0,670.0,1201.0,208.0,,
ALABAMA - Metropolitan Counties,Montgomery,20.0,0.0,5.0,,7.0,8.0,220.0,94.0,104.0,22.0,,
ALABAMA - Metropolitan Counties,Russell,43.0,4.0,10.0,,4.0,25.0,453.0,159.0,255.0,39.0,,
ALABAMA - Metropolitan Counties,St. Clair,29.0,0.0,4.0,,1.0,24.0,268.0,185.0,83.0,0.0,,
ALABAMA - Metropolitan Counties,Tuscaloosa,213.0,3.0,19.0,,20.0,171.0,1284.0,366.0,790.0,128.0,,
ALABAMA - Metropolitan Counties,Walker,103.0,1.0,12.0,,10.0,80.0,1058.0,339.0,580.0,139.0,,
ALABAMA - Nonmetropolitan Counties,Barbour,17.0,2.0,2.0,,2.0,11.0,128.0,68.0,55.0,5.0,,
ALABAMA - Nonmetropolitan Counties,Bullock,15.0,0.0,0.0,,3.0,12.0,84.0,65.0,15.0,4.0,,
ALABAMA - Nonmetropolitan Counties,Butler,44.0,1.0,7.0,,4.0,32.0,214.0,93.0,113.0,8.0,,
ALABAMA - Nonmetropolitan Counties,Chambers,4.0,0.0,0.0,,2.0,2.0,96.0,52.0,43.0,1.0,,
ALABAMA - Nonmetropolitan Counties,Cherokee,49.0,2.0,8.0,,2.0,37.0,388.0,131.0,216.0,41.0,,
ALABAMA - Nonmetropolitan Counties,Clarke,72.0,0.0,6.0,,4.0,62.0,113.0,48.0,49.0,16.0,,
ALABAMA - Nonmetropolitan Counties,Clay,17.0,0.0,1.0,,0.0,16.0,31.0,10.0,17.0,4.0,,
ALABAMA - Nonmetropolitan Counties,Coffee,28.0,0.0,7.0,,2.0,19.0,203.0,80.0,96.0,27.0,,
ALABAMA - Nonmetropolitan Counties,Coosa,13.0,0.0,1.0,,0.0,12.0,201.0,74.0,121.0,6.0,,
ALABAMA - Nonmetropolitan Counties,Covington,22.0,0.0,4.0,,0.0,18.0,210.0,76.0,115.0,19.0,,
ALABAMA - Nonmetropolitan Counties,Crenshaw,52.0,1.0,3.0,,2.0,46.0,143.0,56.0,73.0,14.0,,
ALABAMA - Nonmetropolitan Counties,Cullman,84.0,2.0,34.0,,8.0,40.0,1030.0,297.0,646.0,87.0,,
ALABAMA - Nonmetropolitan Counties,Dale,29.0,1.0,9.0,,0.0,19.0,190.0,55.0,119.0,16.0,,
ALABAMA - Nonmetropolitan Counties,Dallas,65.0,2.0,10.0,,9.0,44.0,462.0,182.0,251.0,29.0,,
ALABAMA - Nonmetropolitan Counties,DeKalb,128.0,2.0,28.0,,4.0,94.0,810.0,312.0,427.0,71.0,,
ALABAMA - Nonmetropolitan Counties,Escambia,24.0,0.0,0.0,,6.0,18.0,133.0,47.0,78.0,8.0,,
ALABAMA - Nonmetropolitan Counties,Franklin,26.0,0.0,5.0,,1.0,20.0,317.0,127.0,166.0,24.0,,
ALABAMA - Nonmetropolitan Counties,Greene,24.0,1.0,1.0,,4.0,18.0,90.0,33.0,46.0,11.0,,
ALABAMA - Nonmetropolitan Counties,Jackson,81.0,3.0,20.0,,0.0,58.0,588.0,264.0,274.0,50.0,,
ALABAMA - Nonmetropolitan Counties,Lamar,16.0,0.0,2.0,,0.0,14.0,29.0,9.0,18.0,2.0,,
ALABAMA - Nonmetropolitan Counties,Macon,24.0,0.0,4.0,,7.0,13.0,151.0,64.0,78.0,9.0,,
ALABAMA - Nonmetropolitan Counties,Marengo,33.0,0.0,3.0,,3.0,27.0,178.0,64.0,102.0,12.0,,
ALABAMA - Nonmetropolitan Counties,Marion,30.0,1.0,5.0,,2.0,22.0,188.0,66.0,110.0,12.0,,
ALABAMA - Nonmetropolitan Counties,Marshall,47.0,0.0,9.0,,3.0,35.0,447.0,220.0,203.0,24.0,,
ALABAMA - Nonmetropolitan Counties,Monroe,34.0,0.0,0.0,,1.0,33.0,136.0,40.0,85.0,11.0,,
ALABAMA - Nonmetropolitan Counties,Pike,15.0,0.0,1.0,,1.0,13.0,155.0,38.0,105.0,12.0,,
ALABAMA - Nonmetropolitan Counties,Randolph,2.0,0.0,0.0,,0.0,2.0,169.0,81.0,87.0,1.0,,
ALABAMA - Nonmetropolitan Counties,Talladega,74.0,0.0,1.0,,10.0,63.0,901.0,340.0,492.0,69.0,,
ALABAMA - Nonmetropolitan Counties,Tallapoosa,19.0,0.0,9.0,,0.0,10.0,146.0,71.0,63.0,12.0,,
ALABAMA - Nonmetropolitan Counties,Washington,22.0,0.0,2.0,,0.0,20.0,86.0,25.0,52.0,9.0,,
ALABAMA - Nonmetropolitan Counties,Wilcox,52.0,2.0,0.0,,3.0,47.0,105.0,38.0,62.0,5.0,,
ALABAMA - Nonmetropolitan Counties,Winston,15.0,0.0,6.0,,0.0,9.0,86.0,35.0,47.0,4.0,,
ARIZONA - Metropolitan Counties,Coconino,91.0,3.0,17.0,,3.0,68.0,459.0,147.0,300.0,12.0,39.0,
ARIZONA - Metropolitan Counties,Maricopa,1114.0,17.0,80.0,,81.0,936.0,5022.0,1195.0,3351.0,476.0,50.0,
ARIZONA - Metropolitan Counties,Mohave,163.0,3.0,46.0,,23.0,91.0,2155.0,809.0,1186.0,160.0,23.0,
ARIZONA - Metropolitan Counties,Pima,976.0,12.0,69.0,,161.0,734.0,9199.0,1898.0,6697.0,604.0,64.0,
ARIZONA - Metropolitan Counties,Pinal,194.0,7.0,56.0,,16.0,115.0,3015.0,530.0,2125.0,360.0,13.0,
ARIZONA - Metropolitan Counties,Yuma,152.0,5.0,14.0,,12.0,121.0,1126.0,510.0,537.0,79.0,16.0,
ARIZONA - Nonmetropolitan Counties,Apache,60.0,0.0,4.0,,0.0,56.0,205.0,112.0,90.0,3.0,71.0,
ARIZONA - Nonmetropolitan Counties,Gila,76.0,0.0,1.0,,1.0,74.0,398.0,119.0,247.0,32.0,8.0,
ARIZONA - Nonmetropolitan Counties,Graham,118.0,0.0,0.0,,18.0,100.0,181.0,83.0,77.0,21.0,4.0,
ARIZONA - Nonmetropolitan Counties,La Paz,26.0,1.0,2.0,,2.0,21.0,424.0,149.0,240.0,35.0,1.0,
ARIZONA - Nonmetropolitan Counties,Navajo,69.0,0.0,4.0,,1.0,64.0,499.0,255.0,207.0,37.0,1.0,
ARIZONA - Nonmetropolitan Counties,Santa Cruz,8.0,0.0,1.0,,2.0,5.0,234.0,95.0,108.0,31.0,0.0,
ARKANSAS - Metropolitan Counties,Benton,85.0,1.0,23.0,,2.0,59.0,458.0,227.0,217.0,14.0,0.0,
ARKANSAS - Metropolitan Counties,Cleveland,2.0,0.0,1.0,,0.0,1.0,76.0,39.0,34.0,3.0,0.0,
