State,County,Violentcrime,Murder andnonnegligentmanslaughter,Rape(reviseddefinition)1,Rape(legacydefinition)2,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny-theft,Motorvehicletheft,Arson3,
ALABAMA - Metropolitan Counties,Autauga,69.0,0.0,13.0,,6.0,50.0,344.0,111.0,187.0,46.0,,
ALABAMA - Metropolitan Counties,Baldwin,115.0,0.0,9.0,,33.0,73.0,648.0,225.0,390.0,33.0,,
ALABAMA - Metropolitan Counties,Bibb,7.0,0.0,2.0,,1.0,4.0,41.0,20.0,18.0,3.0,,
ALABAMA - Metropolitan Counties,Blount,204.0,5.0,16.0,,5.0,178.0,832.0,247.0,503.0,82.0,,
ALABAMA - Metropolitan Counties,Calhoun,16.0,0.0,4.0,,1.0,11.0,413.0,181.0,225.0,7.0,,
ALABAMA - Metropolitan Counties,Chilton,120.0,0.0,23.0,,1.0,96.0,575.0,263.0,274.0,38.0,,
ALABAMA - Metropolitan Counties,Elmore,93.0,5.0,17.0,,5.0,66.0,1141.0,495.0,574.0,72.0,,
ALABAMA - Metropolitan Counties,Etowah,113.0,1.0,23.0,,2.0,87.0,561.0,214.0,298.0,49.0,,
ALABAMA - Metropolitan Counties,Geneva,41.0,0.0,9.0,,0.0,32.0,229.0,91.0,113.0,25.0,,
ALABAMA - Metropolitan Counties,Henry,36.0,0.0,8.0,,3.0,25.0,162.0,78.0,64.0,20.0,,
ALABAMA - Metropolitan Counties,Houston,97.0,3.0,16.0,,5.0,73.0,609.0,191.0,387.0,31.0,,
ALABAMA - Metropolitan Counties,Jefferson,787.0,10.0,91.0,,202.0,484.0,3436.0,1903.0,1392.0,141.0,,
ALABAMA - Metropolitan Counties,Lawrence,46.0,1.0,5.0,,0.0,40.0,336.0,123.0,185.0,28.0,,
ALABAMA - Metropolitan Counties,Limestone,50.0,2.0,8.0,,3.0,37.0,567.0,159.0,384.0,24.0,,
ALABAMA - Metropolitan Counties,Lowndes,44.0,0.0,10.0,,11.0,23.0,187.0,56.0,109.0,22.0,,
ALABAMA - Metropolitan Counties,Madison,366.0,7.0,52.0,,46.0,261.0,2052.0,633.0,1252.0,167.0,,
ALABAMA - Metropolitan Counties,Mobile,114.0,4.0,26.0,,21.0,63.0,1924.0,607.0,1124.0,193.0,,
ALABAMA - Metropolitan Counties,Montgomery,19.0,0.0,2.0,,6.0,11.0,188.0,61.0,108.0,19.0,,
ALABAMA - Metropolitan Counties,Morgan,42.0,0.0,10.0,,2.0,30.0,381.0,195.0,165.0,21.0,,
ALABAMA - Metropolitan Counties,Pickens,11.0,0.0,5.0,,0.0,6.0,33.0,16.0,17.0,0.0,,
ALABAMA - Metropolitan Counties,Russell,45.0,0.0,10.0,,4.0,31.0,395.0,134.0,233.0,28.0,,
ALABAMA - Metropolitan Counties,Shelby,131.0,3.0,40.0,,15.0,73.0,1140.0,296.0,754.0,90.0,,
ALABAMA - Metropolitan Counties,Tuscaloosa,182.0,2.0,9.0,,18.0,153.0,1073.0,307.0,664.0,102.0,,
ALABAMA - Metropolitan Counties,Walker,127.0,1.0,23.0,,9.0,94.0,1114.0,382.0,604.0,128.0,,
ALABAMA - Nonmetropolitan Counties,Barbour,32.0,2.0,4.0,,0.0,26.0,115.0,59.0,45.0,11.0,,
ALABAMA - Nonmetropolitan Counties,Bullock,21.0,0.0,0.0,,8.0,13.0,52.0,34.0,17.0,1.0,,
ALABAMA - Nonmetropolitan Counties,Butler,41.0,1.0,2.0,,1.0,37.0,166.0,65.0,90.0,11.0,,
ALABAMA - Nonmetropolitan Counties,Chambers,3.0,0.0,0.0,,0.0,3.0,61.0,27.0,34.0,0.0,,
ALABAMA - Nonmetropolitan Counties,Cherokee,52.0,2.0,8.0,,3.0,39.0,346.0,118.0,194.0,34.0,,
ALABAMA - Nonmetropolitan Counties,Choctaw,7.0,0.0,0.0,,1.0,6.0,34.0,15.0,15.0,4.0,,
ALABAMA - Nonmetropolitan Counties,Clarke,48.0,3.0,5.0,,2.0,38.0,63.0,25.0,33.0,5.0,,
ALABAMA - Nonmetropolitan Counties,Clay,9.0,0.0,0.0,,0.0,9.0,15.0,4.0,7.0,4.0,,
ALABAMA - Nonmetropolitan Counties,Cleburne,6.0,0.0,1.0,,1.0,4.0,143.0,50.0,90.0,3.0,,
ALABAMA - Nonmetropolitan Counties,Coffee,31.0,1.0,7.0,,3.0,20.0,192.0,82.0,91.0,19.0,,
ALABAMA - Nonmetropolitan Counties,Coosa,21.0,1.0,0.0,,4.0,16.0,156.0,58.0,88.0,10.0,,
ALABAMA - Nonmetropolitan Counties,Covington,36.0,0.0,12.0,,0.0,24.0,232.0,86.0,119.0,27.0,,
ALABAMA - Nonmetropolitan Counties,Crenshaw,38.0,0.0,2.0,,2.0,34.0,147.0,49.0,77.0,21.0,,
ALABAMA - Nonmetropolitan Counties,Cullman,48.0,0.0,22.0,,5.0,21.0,944.0,285.0,556.0,103.0,,
ALABAMA - Nonmetropolitan Counties,Dale,34.0,0.0,6.0,,1.0,27.0,209.0,78.0,114.0,17.0,,
