State,County,Violent crime,Murder and nonnegligent manslaughter,Rape(revised definition)1,Rape(legacy definition)2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,
ALABAMA Metropolitan Counties,Autauga,33,0,,2,4,27,375,120,215,40,
ALABAMA Metropolitan Counties,Bibb,15,0,,1,1,13,78,26,46,6,
ALABAMA Metropolitan Counties,Colbert,0,0,,0,0,0,2,0,1,1,
ALABAMA Metropolitan Counties,Elmore,44,2,,13,9,20,659,209,422,28,
ALABAMA Metropolitan Counties,Geneva,22,0,,0,3,19,214,70,104,40,
ALABAMA Metropolitan Counties,Henry,14,0,,0,1,13,164,53,100,11,
ALABAMA Metropolitan Counties,Houston,9,0,,0,4,5,373,114,229,30,
ALABAMA Metropolitan Counties,Jefferson,642,9,,57,227,349,5260,1779,2949,532,
ALABAMA Metropolitan Counties,Lawrence,44,2,,9,6,27,524,139,360,25,
ALABAMA Metropolitan Counties,Lee,49,2,,11,19,17,1349,476,801,72,
ALABAMA Metropolitan Counties,Limestone,26,0,,0,6,20,362,90,243,29,
ALABAMA Metropolitan Counties,Lowndes,44,1,,5,11,27,145,119,20,6,
ALABAMA Metropolitan Counties,Madison,284,1,,25,52,206,2679,797,1623,259,
ALABAMA Metropolitan Counties,Mobile,190,5,,17,63,105,2537,843,1413,281,
ALABAMA Metropolitan Counties,Shelby,79,2,,19,16,42,996,397,498,101,
ALABAMA Metropolitan Counties,St. Clair,40,1,,9,1,29,321,102,191,28,
ALABAMA Metropolitan Counties,Tuscaloosa,255,5,,31,21,198,2013,593,1191,229,
ALABAMA Metropolitan Counties,Walker,21,0,,4,1,16,532,196,319,17,
ALABAMA Nonmetropolitan Counties,Baldwin,93,0,,9,7,77,861,296,542,23,
ALABAMA Nonmetropolitan Counties,Butler,6,0,,0,0,6,58,18,36,4,
ALABAMA Nonmetropolitan Counties,Chambers,31,1,,4,7,19,195,57,138,0,
ALABAMA Nonmetropolitan Counties,Cleburne,27,0,,1,2,24,222,78,121,23,
ALABAMA Nonmetropolitan Counties,Coosa,36,3,,4,5,24,208,63,130,15,
ALABAMA Nonmetropolitan Counties,Crenshaw,16,0,,3,1,12,185,55,116,14,
ALABAMA Nonmetropolitan Counties,Cullman,118,2,,18,8,90,1482,415,923,144,
ALABAMA Nonmetropolitan Counties,Dale,4,0,,0,1,3,23,15,8,0,
ALABAMA Nonmetropolitan Counties,De Kalb,195,1,,23,2,169,674,358,210,106,
ALABAMA Nonmetropolitan Counties,Fayette,15,0,,2,1,12,176,77,82,17,
ALABAMA Nonmetropolitan Counties,Franklin,4,1,,1,0,2,18,10,5,3,
ALABAMA Nonmetropolitan Counties,Jackson,65,3,,9,6,47,602,214,305,83,
ALABAMA Nonmetropolitan Counties,Lamar,0,0,,0,0,0,5,2,3,0,
ALABAMA Nonmetropolitan Counties,Macon,21,0,,2,0,19,232,108,94,30,
ALABAMA Nonmetropolitan Counties,Marengo,18,0,,0,3,15,130,57,65,8,
ALABAMA Nonmetropolitan Counties,Marion,23,0,,1,0,22,226,83,133,10,
ALABAMA Nonmetropolitan Counties,Marshall,36,0,,5,0,31,475,144,307,24,
ALABAMA Nonmetropolitan Counties,Perry,10,2,,0,2,6,62,26,30,6,
ALABAMA Nonmetropolitan Counties,Pickens,15,0,,4,0,11,58,16,41,1,
ALABAMA Nonmetropolitan Counties,Pike,5,0,,0,1,4,86,32,49,5,
ALABAMA Nonmetropolitan Counties,Wilcox,3,1,,1,0,1,44,9,26,9,
ARIZONA Metropolitan Counties ,Maricopa,850,25,,30,94,701,6698,1734,3936,1028,
ARIZONA Metropolitan Counties ,Mohave,204,9,,4,22,169,3111,1165,1559,387,
ARIZONA Metropolitan Counties ,Pima,783,18,,88,214,463,13674,2643,9237,1794,
