State,County,Violent crime,Murder and nonnegligent manslaughter,Rape(revised definition)1,Rape(legacy definition)2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson3
ALABAMA Metropolitan Counties ,Autauga,28,0,,5,4,19,421,138,243,40,
ALABAMA Metropolitan Counties ,Bibb,11,0,,1,0,10,78,29,46,3,
ALABAMA Metropolitan Counties ,Chilton,291,1,,8,2,280,454,151,296,7,
ALABAMA Metropolitan Counties ,Colbert,170,0,,9,6,155,624,137,477,10,
ALABAMA Metropolitan Counties ,Geneva,23,3,,1,0,19,173,69,85,19,
ALABAMA Metropolitan Counties ,Hale,58,1,,6,12,39,242,88,134,20,
ALABAMA Metropolitan Counties ,Henry,21,0,,3,3,15,165,57,86,22,
ALABAMA Metropolitan Counties ,Houston,12,3,,0,2,7,477,100,319,58,
ALABAMA Metropolitan Counties ,Jefferson,557,3,,48,221,285,5320,1844,2932,544,30
ALABAMA Metropolitan Counties ,Lawrence,39,0,,2,4,33,449,143,286,20,
ALABAMA Metropolitan Counties ,Limestone,19,0,,3,2,14,240,50,150,40,
ALABAMA Metropolitan Counties ,Lowndes,28,1,,2,7,18,133,103,22,8,
ALABAMA Metropolitan Counties ,Madison,216,4,,21,31,160,2176,588,1311,277,
ALABAMA Metropolitan Counties ,Mobile,245,7,,29,80,129,2624,783,1572,269,
ALABAMA Metropolitan Counties ,Montgomery,66,0,,4,16,46,719,219,426,74,
ALABAMA Metropolitan Counties ,Morgan,24,0,,4,4,16,407,196,166,45,
ALABAMA Metropolitan Counties ,Russell,21,1,,2,4,14,105,50,43,12,
ALABAMA Metropolitan Counties ,Shelby,83,0,,12,18,53,961,341,545,75,
ALABAMA Metropolitan Counties ,Tuscaloosa,280,4,,25,58,193,2278,633,1388,257,
ALABAMA Metropolitan Counties ,Walker,26,0,,3,3,20,688,222,442,24,
ALABAMA Nonmetropolitan Counties,Baldwin,134,0,,23,6,105,993,316,610,67,
ALABAMA Nonmetropolitan Counties,Barbour,0,0,,0,0,0,2,0,2,0,
ALABAMA Nonmetropolitan Counties,Bullock,31,0,,0,2,29,140,64,76,0,
ALABAMA Nonmetropolitan Counties,Chambers,24,0,,3,1,20,163,53,107,3,
ALABAMA Nonmetropolitan Counties,Cherokee,8,0,,6,0,2,249,66,182,1,
ALABAMA Nonmetropolitan Counties,Clarke,4,0,,0,0,4,13,5,6,2,
ALABAMA Nonmetropolitan Counties,Clay,7,0,,0,0,7,130,47,82,1,
ALABAMA Nonmetropolitan Counties,Cleburne,24,0,,7,3,14,209,76,108,25,
ALABAMA Nonmetropolitan Counties,Coffee,16,0,,0,2,14,163,72,89,2,
ALABAMA Nonmetropolitan Counties,Conecuh,0,0,,0,0,0,14,4,10,0,
ALABAMA Nonmetropolitan Counties,Coosa,25,1,,7,4,13,173,57,107,9,
ALABAMA Nonmetropolitan Counties,Crenshaw,27,0,,1,3,23,189,45,118,26,
ALABAMA Nonmetropolitan Counties,Cullman,108,2,,24,7,75,1495,470,908,117,
ALABAMA Nonmetropolitan Counties,Dale,34,0,,5,2,27,127,38,88,1,
ALABAMA Nonmetropolitan Counties,De Kalb,112,0,,32,1,79,686,187,408,91,
ALABAMA Nonmetropolitan Counties,Escambia,20,0,,0,1,19,151,45,91,15,
ALABAMA Nonmetropolitan Counties,Fayette,9,0,,1,0,8,132,56,56,20,
ALABAMA Nonmetropolitan Counties,Jackson,64,2,,7,7,48,609,190,334,85,
ALABAMA Nonmetropolitan Counties,Lamar,2,0,,0,0,2,37,14,18,5,
ALABAMA Nonmetropolitan Counties,Macon,28,0,,3,6,19,282,119,119,44,
ALABAMA Nonmetropolitan Counties,Marengo,24,0,,6,5,13,174,82,82,10,
ALABAMA Nonmetropolitan Counties,Marshall,35,1,,8,1,25,495,152,313,30,
ALABAMA Nonmetropolitan Counties,Monroe,40,0,,0,1,39,100,36,51,13,
ALABAMA Nonmetropolitan Counties,Perry,7,0,,1,0,6,95,28,57,10,
ALABAMA Nonmetropolitan Counties,Pickens,16,0,,3,0,13,66,36,26,4,
ALABAMA Nonmetropolitan Counties,Pike,7,0,,1,0,6,98,46,50,2,
ALABAMA Nonmetropolitan Counties,Talladega,62,0,,7,14,41,662,210,413,39,
ALABAMA Nonmetropolitan Counties,Tallapoosa,16,1,,3,7,5,252,95,122,35,
ALABAMA Nonmetropolitan Counties,Washington,29,0,,2,3,24,52,18,32,2,
ALABAMA Nonmetropolitan Counties,Winston,19,0,,5,1,13,183,41,132,10,
ARIZONA-Metropolitan Counties,Coconino,161,0,,14,4,143,539,144,365,30,16
ARIZONA-Metropolitan Counties,Maricopa,989,32,,13,129,815,8081,2074,4782,1225,84
ARIZONA-Metropolitan Counties,Mohave,225,6,,4,21,194,3110,1027,1734,349,30
ARIZONA-Metropolitan Counties,Pima,606,25,,80,165,336,13012,2439,8891,1682,126
ARIZONA-Metropolitan Counties,Pinal,290,11,,60,41,178,5065,743,3405,917,18
ARIZONA-Metropolitan Counties,Yavapai,325,3,,12,3,307,1728,527,1054,147,12
ARIZONA-Metropolitan Counties,Yuma,123,6,,14,23,80,1391,284,910,197,16
ARIZONA-Nonmetropolitan Counties,Cochise2,,2,,17,17,,1383,564,656,163,20
ARIZONA-Nonmetropolitan Counties,Gila,61,0,,3,0,58,396,121,219,56,6
ARIZONA-Nonmetropolitan Counties,La Paz,66,0,,0,0,66,429,82,317,30,1
ARIZONA-Nonmetropolitan Counties,Navajo,65,1,,8,4,52,738,393,224,121,5
ARKANSAS-Metropolitan Counties,Cleveland,2,0,,0,1,1,101,49,42,10,1
ARKANSAS-Metropolitan Counties,Craighead,22,0,,4,1,17,373,135,211,27,5
ARKANSAS-Metropolitan Counties,Crittenden,81,2,,8,7,64,465,178,256,31,11
ARKANSAS-Metropolitan Counties,Faulkner,44,0,,2,2,40,745,162,526,57,5
ARKANSAS-Metropolitan Counties,Franklin,21,0,,2,0,19,181,63,107,11,5
ARKANSAS-Metropolitan Counties,Garland,96,3,,14,7,72,2306,936,1196,174,3
ARKANSAS-Metropolitan Counties,Grant,38,0,,5,1,32,178,63,103,12,0
ARKANSAS-Metropolitan Counties,Jefferson,69,3,,7,9,50,489,202,225,62,5
ARKANSAS-Metropolitan Counties,Lincoln,18,0,,3,0,15,83,45,38,0,0
ARKANSAS-Metropolitan Counties,Lonoke,122,5,,12,4,101,616,209,339,68,5
ARKANSAS-Metropolitan Counties,Madison,30,1,,5,0,24,61,24,31,6,4
ARKANSAS-Metropolitan Counties,Perry,14,0,,1,0,13,64,41,21,2,3
ARKANSAS-Metropolitan Counties,Poinsett,66,0,,3,2,61,112,103,4,5,6
ARKANSAS-Metropolitan Counties,Pulaski,402,4,,17,36,345,2223,898,1056,269,11
ARKANSAS-Metropolitan Counties,Saline,95,0,,10,5,80,1016,315,645,56,3
ARKANSAS-Metropolitan Counties,Sebastian,66,1,,6,5,54,413,150,243,20,2
ARKANSAS-Metropolitan Counties,Washington,142,1,,24,4,113,657,259,354,44,4
