State,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,
ALABAMA Metropolitan Counties ,Bibb,20.0,0.0,2.0,1.0,17.0,138.0,54.0,71.0,13.0,,,
ALABAMA Metropolitan Counties ,Chilton,328.0,0.0,9.0,3.0,316.0,477.0,159.0,312.0,6.0,,,
ALABAMA Metropolitan Counties ,Colbert,169.0,0.0,6.0,4.0,159.0,563.0,122.0,418.0,23.0,,,
ALABAMA Metropolitan Counties ,Elmore,58.0,0.0,13.0,16.0,29.0,688.0,231.0,420.0,37.0,,,
ALABAMA Metropolitan Counties ,Geneva,28.0,0.0,5.0,2.0,21.0,226.0,82.0,118.0,26.0,,,
ALABAMA Metropolitan Counties ,Hale,63.0,2.0,3.0,7.0,51.0,219.0,86.0,99.0,34.0,,,
ALABAMA Metropolitan Counties ,Henry,22.0,1.0,2.0,0.0,19.0,119.0,34.0,74.0,11.0,,,
ALABAMA Metropolitan Counties ,Houston,31.0,0.0,10.0,10.0,11.0,525.0,103.0,364.0,58.0,,,
ALABAMA Metropolitan Counties ,Jefferson,637.0,5.0,62.0,282.0,288.0,5960.0,2358.0,3103.0,499.0,,,
ALABAMA Metropolitan Counties ,Lauderdale,61.0,1.0,13.0,3.0,44.0,972.0,323.0,594.0,55.0,,,
ALABAMA Metropolitan Counties ,Lawrence,35.0,0.0,1.0,3.0,31.0,505.0,179.0,310.0,16.0,,,
ALABAMA Metropolitan Counties ,Lee,103.0,3.0,20.0,24.0,56.0,1850.0,643.0,1095.0,112.0,,,
ALABAMA Metropolitan Counties ,Limestone,38.0,1.0,6.0,8.0,23.0,380.0,103.0,241.0,36.0,,,
ALABAMA Metropolitan Counties ,Madison,224.0,0.0,20.0,38.0,166.0,2506.0,810.0,1464.0,232.0,,,
ALABAMA Metropolitan Counties ,Mobile,223.0,9.0,24.0,84.0,106.0,2431.0,778.0,1385.0,268.0,,,
ALABAMA Metropolitan Counties ,Montgomery,52.0,0.0,6.0,9.0,37.0,720.0,225.0,405.0,90.0,,,
ALABAMA Metropolitan Counties ,Morgan,28.0,2.0,3.0,4.0,19.0,388.0,231.0,155.0,2.0,,,
ALABAMA Metropolitan Counties ,Russell,97.0,2.0,5.0,8.0,82.0,336.0,137.0,163.0,36.0,,,
ALABAMA Metropolitan Counties ,Shelby,77.0,0.0,15.0,15.0,47.0,1029.0,428.0,517.0,84.0,,,
ALABAMA Metropolitan Counties ,St. Clair,38.0,0.0,8.0,5.0,25.0,324.0,119.0,181.0,24.0,,,
ALABAMA Metropolitan Counties ,Tuscaloosa,229.0,2.0,21.0,32.0,174.0,1807.0,570.0,1041.0,196.0,,,
ALABAMA Metropolitan Counties ,Walker,46.0,1.0,8.0,14.0,23.0,1024.0,279.0,673.0,72.0,,,
ALABAMA Nonmetropolitan Counties,Baldwin,137.0,3.0,18.0,22.0,94.0,1094.0,339.0,685.0,70.0,,,
ALABAMA Nonmetropolitan Counties,Barbour,18.0,0.0,1.0,0.0,17.0,60.0,57.0,0.0,3.0,,,
ALABAMA Nonmetropolitan Counties,Butler,21.0,0.0,2.0,1.0,18.0,226.0,95.0,124.0,7.0,,,
ALABAMA Nonmetropolitan Counties,Chambers,20.0,0.0,4.0,3.0,13.0,186.0,69.0,108.0,9.0,,,
ALABAMA Nonmetropolitan Counties,Cherokee,15.0,0.0,0.0,0.0,15.0,150.0,37.0,113.0,0.0,,,
ALABAMA Nonmetropolitan Counties,Clay,10.0,0.0,3.0,0.0,7.0,128.0,55.0,66.0,7.0,,,
ALABAMA Nonmetropolitan Counties,Cleburne,27.0,0.0,0.0,3.0,24.0,211.0,76.0,113.0,22.0,,,
ALABAMA Nonmetropolitan Counties,Conecuh,7.0,1.0,0.0,0.0,6.0,87.0,37.0,48.0,2.0,,,
ALABAMA Nonmetropolitan Counties,Coosa,24.0,0.0,3.0,1.0,20.0,260.0,100.0,155.0,5.0,,,
ALABAMA Nonmetropolitan Counties,Covington,12.0,2.0,6.0,1.0,3.0,67.0,33.0,33.0,1.0,,,
ALABAMA Nonmetropolitan Counties,Crenshaw,11.0,1.0,2.0,0.0,8.0,170.0,59.0,94.0,17.0,,,
ALABAMA Nonmetropolitan Counties,Cullman,134.0,1.0,29.0,5.0,99.0,1249.0,351.0,828.0,70.0,,,
ALABAMA Nonmetropolitan Counties,Dale,47.0,0.0,2.0,1.0,44.0,165.0,57.0,102.0,6.0,,,
ALABAMA Nonmetropolitan Counties,Dallas,53.0,0.0,4.0,9.0,40.0,586.0,168.0,364.0,54.0,,,
ALABAMA Nonmetropolitan Counties,Escambia,26.0,0.0,2.0,6.0,18.0,163.0,48.0,105.0,10.0,,,
ALABAMA Nonmetropolitan Counties,Fayette,7.0,0.0,2.0,2.0,3.0,103.0,40.0,49.0,14.0,,,
ALABAMA Nonmetropolitan Counties,Franklin,15.0,0.0,4.0,0.0,11.0,123.0,47.0,67.0,9.0,,,
ALABAMA Nonmetropolitan Counties,Jackson,53.0,0.0,9.0,0.0,44.0,558.0,180.0,281.0,97.0,,,
ALABAMA Nonmetropolitan Counties,Macon,53.0,1.0,5.0,3.0,44.0,315.0,131.0,130.0,54.0,,,
ALABAMA Nonmetropolitan Counties,Marengo,20.0,0.0,3.0,3.0,14.0,164.0,54.0,92.0,18.0,,,
ALABAMA Nonmetropolitan Counties,Marshall,64.0,2.0,13.0,5.0,44.0,656.0,244.0,364.0,48.0,,,
ALABAMA Nonmetropolitan Counties,Monroe,34.0,2.0,0.0,1.0,31.0,105.0,54.0,46.0,5.0,,,
ALABAMA Nonmetropolitan Counties,Perry,5.0,1.0,0.0,0.0,4.0,102.0,41.0,49.0,12.0,,,
