State,County,Violent crime,Murder and nonnegligent manslaughter,Rape(revised definition)1,Rape(legacy definition)2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,idsubid,
ALABAMA - Metropolitan Counties,Bibb,20,1,,2,2,15,131,64,57,10,01007,
ALABAMA - Metropolitan Counties,Calhoun,48,0,,23,8,17,862,316,539,7,01015,
ALABAMA - Metropolitan Counties,Chilton,455,0,,19,3,433,581,182,397,2,01021,
ALABAMA - Metropolitan Counties,Etowah,11,0,,7,2,2,335,125,188,22,01055,
ALABAMA - Metropolitan Counties,Geneva,3,,,0,3,0,,,,116,01061,
ALABAMA - Metropolitan Counties,Hale,63,1,,1,9,52,220,111,98,11,01065,
ALABAMA - Metropolitan Counties,Henry,36,1,,2,1,32,103,41,52,10,01067,
ALABAMA - Metropolitan Counties,Jefferson,505,5,,46,210,244,6131,2334,3260,537,01073,
ALABAMA - Metropolitan Counties,Lauderdale,35,3,,9,2,21,798,300,460,38,01077,
ALABAMA - Metropolitan Counties,Lawrence,7,1,,3,3,,387,74,298,15,01079,
ALABAMA - Metropolitan Counties,Lee,95,3,,25,15,52,1662,717,860,85,01081,
ALABAMA - Metropolitan Counties,Limestone,47,2,,9,10,26,639,208,395,36,01083,
ALABAMA - Metropolitan Counties,Lowndes,54,1,,2,8,43,352,172,176,4,01085,
ALABAMA - Metropolitan Counties,Madison,323,3,,22,70,228,2198,750,1268,180,01089,
ALABAMA - Metropolitan Counties,Montgomery,76,0,,5,9,62,673,222,369,82,01101,
ALABAMA - Metropolitan Counties,Russell,110,1,,9,11,89,348,164,166,18,01113,
ALABAMA - Metropolitan Counties,Shelby,92,1,,23,9,59,1070,417,587,66,01117,
ALABAMA - Metropolitan Counties,St. Clair,24,1,,4,4,15,331,139,174,18,01115,
ALABAMA - Metropolitan Counties,Tuscaloosa,230,4,,23,28,175,1798,556,1049,193,01125,
ALABAMA - Metropolitan Counties,Walker,22,0,,5,8,9,504,127,324,53,01127,
ALABAMA - Nonmetropolitan Counties,Baldwin,101,1,,4,8,88,665,261,362,42,01003,
ALABAMA - Nonmetropolitan Counties,Barbour,17,0,,5,0,12,,40,,6,01005,
ALABAMA - Nonmetropolitan Counties,Bullock,28,1,,0,0,27,105,56,49,0,01011,
ALABAMA - Nonmetropolitan Counties,Butler,37,0,,3,0,34,215,94,111,10,01013,
ALABAMA - Nonmetropolitan Counties,Cherokee,15,0,,2,0,13,79,14,56,9,01019,
ALABAMA - Nonmetropolitan Counties,Choctaw,5,0,,0,0,5,31,17,14,0,01023,
ALABAMA - Nonmetropolitan Counties,Clarke,44,3,,5,0,36,52,45,5,2,01025,
ALABAMA - Nonmetropolitan Counties,Cleburne,29,2,,4,0,23,267,100,153,14,01029,
ALABAMA - Nonmetropolitan Counties,Coffee,21,0,,2,3,16,166,56,90,20,01031,
ALABAMA - Nonmetropolitan Counties,Conecuh,36,1,,3,4,28,91,17,68,6,01035,
ALABAMA - Nonmetropolitan Counties,Coosa,17,0,,0,3,14,252,118,127,7,01037,
ALABAMA - Nonmetropolitan Counties,Covington,34,6,,2,1,25,158,63,93,2,01039,
ALABAMA - Nonmetropolitan Counties,Crenshaw,24,0,,2,3,19,186,67,104,15,01041,
ALABAMA - Nonmetropolitan Counties,Cullman,117,3,,13,2,99,1098,334,709,55,01043,
ALABAMA - Nonmetropolitan Counties,Dale,43,3,,14,0,26,130,44,82,4,01045,
ALABAMA - Nonmetropolitan Counties,Dallas,70,0,,11,8,51,535,154,330,51,01047,
ALABAMA - Nonmetropolitan Counties,Fayette,9,0,,2,0,7,,,48,9,01057,
ALABAMA - Nonmetropolitan Counties,Franklin,26,1,,2,4,19,159,54,98,7,01059,
ALABAMA - Nonmetropolitan Counties,Jackson,112,1,,11,6,94,358,108,209,41,01071,
ALABAMA - Nonmetropolitan Counties,Lamar,2,0,,0,0,2,8,0,8,0,01075,
ALABAMA - Nonmetropolitan Counties,Marengo,34,1,,1,2,30,121,43,63,15,01091,
ALABAMA - Nonmetropolitan Counties,Marion,4,0,,0,0,4,24,11,13,0,01093,
ALABAMA - Nonmetropolitan Counties,Marshall,73,1,,9,2,61,636,219,360,57,01095,
ALABAMA - Nonmetropolitan Counties,Monroe,29,3,,1,1,24,98,52,43,3,01099,
ALABAMA - Nonmetropolitan Counties,Perry,4,0,,0,1,3,98,34,50,14,01105,
ALABAMA - Nonmetropolitan Counties,Pickens,8,0,,1,0,7,94,59,32,3,01107,
ALABAMA - Nonmetropolitan Counties,Pike,5,0,,0,2,3,105,47,52,6,01109,
ALABAMA - Nonmetropolitan Counties,Randolph,25,0,,1,0,24,279,75,200,4,01111,
ALABAMA - Nonmetropolitan Counties,Talladega,49,2,,6,11,30,,359,564,,01121,
ALABAMA - Nonmetropolitan Counties,Tallapoosa,22,0,,0,2,20,207,63,130,14,01123,
ALABAMA - Nonmetropolitan Counties,Washington,34,0,,4,0,30,103,25,67,11,01129,
ALABAMA - Nonmetropolitan Counties,Wilcox,27,0,,0,1,26,126,53,60,13,01131,
ALABAMA - Nonmetropolitan Counties,Winston,18,0,,2,1,15,263,91,164,8,01133,
ARIZONA - Metropolitan Counties,Coconino,77,2,,12,3,60,565,180,353,32,04005,
ARIZONA - Metropolitan Counties,Maricopa,992,25,,39,118,810,6264,1841,3658,765,04013,
ARIZONA - Metropolitan Counties,Mohave,192,1,,4,18,169,1995,669,1162,164,04015,
ARIZONA - Metropolitan Counties,Pima,635,18,,74,195,348,11706,2443,8237,1026,04019,
ARIZONA - Metropolitan Counties,Pinal,214,8,,50,41,115,3814,740,2494,580,04021,
ARIZONA - Metropolitan Counties,Yavapai,279,1,,16,6,256,1419,468,837,114,04025,
ARIZONA - Metropolitan Counties,Yuma,104,6,,8,4,86,797,389,320,88,04027,
