State,County,Violent crime,Murder and nonnegligent manslaughter,Rape(revised definition)1,Rape(legacy definition)2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,idsubid,idsubid,
ALABAMA - Metropolitan Counties,Autauga,81,0,,9,5,67,512,186,291,35,01001,01001,
ALABAMA - Metropolitan Counties,Baldwin,130,3,,9,27,91,870,317,496,57,01003,01003,
ALABAMA - Metropolitan Counties,Bibb,18,0,,4,0,14,155,73,65,17,01007,01007,
ALABAMA - Metropolitan Counties,Blount,79,1,,8,6,64,959,329,573,57,01009,01009,
ALABAMA - Metropolitan Counties,Calhoun,22,0,,8,3,11,791,322,468,1,01015,01015,
ALABAMA - Metropolitan Counties,Chilton,78,0,,6,5,67,599,234,315,50,01021,01021,
ALABAMA - Metropolitan Counties,Colbert,36,1,,5,1,29,339,141,171,27,01033,01033,
ALABAMA - Metropolitan Counties,Elmore,52,3,,13,10,26,812,339,428,45,01051,01051,
ALABAMA - Metropolitan Counties,Etowah,109,1,,9,2,97,598,226,324,48,01055,01055,
ALABAMA - Metropolitan Counties,Geneva,25,0,,4,1,20,196,61,124,11,01061,01061,
ALABAMA - Metropolitan Counties,Hale,16,0,,2,1,13,97,50,34,13,01065,01065,
ALABAMA - Metropolitan Counties,Henry,28,2,,3,1,22,130,66,55,9,01067,01067,
ALABAMA - Metropolitan Counties,Houston,92,2,,12,9,69,625,177,403,45,01069,01069,
ALABAMA - Metropolitan Counties,Jefferson,676,4,,49,196,427,3670,2035,1550,85,01073,01073,
ALABAMA - Metropolitan Counties,Lawrence,83,0,,4,3,76,479,169,273,37,01079,01079,
ALABAMA - Metropolitan Counties,Limestone,79,3,,0,4,72,544,185,331,28,01083,01083,
ALABAMA - Metropolitan Counties,Lowndes,37,1,,3,6,27,198,92,88,18,01085,01085,
ALABAMA - Metropolitan Counties,Madison,286,4,,30,45,207,2185,795,1232,158,01089,01089,
ALABAMA - Metropolitan Counties,Mobile,231,6,,23,30,172,2356,801,1386,169,01097,01097,
ALABAMA - Metropolitan Counties,Montgomery,67,0,,4,6,57,552,226,260,66,01101,01101,
ALABAMA - Metropolitan Counties,Pickens,10,0,,0,0,10,47,21,24,2,01107,01107,
ALABAMA - Metropolitan Counties,Shelby,133,4,,21,19,89,1270,297,888,85,01117,01117,
ALABAMA - Metropolitan Counties,Tuscaloosa,228,4,,12,32,180,1541,449,981,111,01125,01125,
ALABAMA - Metropolitan Counties,Walker,99,0,,5,7,87,935,370,495,70,01127,01127,
ALABAMA - Nonmetropolitan Counties,Barbour,21,0,,1,2,18,87,33,48,6,01005,01005,
ALABAMA - Nonmetropolitan Counties,Butler,46,3,,4,3,36,252,117,119,16,01013,01013,
ALABAMA - Nonmetropolitan Counties,Chambers,6,0,,0,1,5,89,33,54,2,01017,01017,
ALABAMA - Nonmetropolitan Counties,Cherokee,63,0,,2,1,60,501,196,255,50,01019,01019,
ALABAMA - Nonmetropolitan Counties,Choctaw,5,0,,0,0,5,42,25,15,2,01023,01023,
ALABAMA - Nonmetropolitan Counties,Clarke,36,0,,9,3,24,119,47,63,9,01025,01025,
ALABAMA - Nonmetropolitan Counties,Clay,20,0,,0,0,20,43,14,24,5,01027,01027,
ALABAMA - Nonmetropolitan Counties,Coffee,24,0,,1,0,23,161,79,70,12,01031,01031,
ALABAMA - Nonmetropolitan Counties,Conecuh,34,1,,1,4,28,153,48,87,18,01035,01035,
ALABAMA - Nonmetropolitan Counties,Coosa,21,0,,2,2,17,224,74,138,12,01037,01037,
ALABAMA - Nonmetropolitan Counties,Covington,40,1,,8,1,30,328,134,173,21,01039,01039,
ALABAMA - Nonmetropolitan Counties,Crenshaw,45,1,,1,2,41,151,66,68,17,01041,01041,
