State,County,Violent crime,Murder and nonnegligent manslaughter,Rape(revised definition)1,Rape(legacy definition)2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,idsubid,
ALABAMA - Metropolitan Counties,Autauga,72,0,15,,3,54,444,160,238,01001,
ALABAMA - Metropolitan Counties,Baldwin,111,0,13,,27,71,674,250,380,01003,
ALABAMA - Metropolitan Counties,Bibb,8,0,0,,0,8,123,65,40,01007,
ALABAMA - Metropolitan Counties,Blount,91,0,9,,0,82,947,302,562,01009,
ALABAMA - Metropolitan Counties,Calhoun,28,0,7,,5,16,453,183,259,01015,
ALABAMA - Metropolitan Counties,Chilton,84,1,23,,1,59,604,228,332,01021,
ALABAMA - Metropolitan Counties,Elmore,69,0,18,,6,45,783,269,494,01051,
ALABAMA - Metropolitan Counties,Etowah,110,2,25,,3,80,607,261,310,01055,
ALABAMA - Metropolitan Counties,Geneva,36,1,10,,1,24,296,87,186,01061,
ALABAMA - Metropolitan Counties,Hale,39,0,3,,1,35,137,44,78,01065,
ALABAMA - Metropolitan Counties,Henry,27,2,4,,1,20,146,75,61,01067,
ALABAMA - Metropolitan Counties,Houston,103,0,25,,12,66,605,185,361,01069,
ALABAMA - Metropolitan Counties,Jefferson,705,5,81,,183,436,3678,1908,1664,01073,
ALABAMA - Metropolitan Counties,Lawrence,65,2,9,,5,49,459,142,286,01079,
ALABAMA - Metropolitan Counties,Limestone,86,0,14,,5,67,787,263,468,01083,
ALABAMA - Metropolitan Counties,Lowndes,32,2,6,,1,23,213,99,88,01085,
ALABAMA - Metropolitan Counties,Madison,317,1,62,,30,224,2215,630,1418,01089,
ALABAMA - Metropolitan Counties,Mobile,224,5,48,,40,131,2387,739,1421,01097,
ALABAMA - Metropolitan Counties,Montgomery,12,0,0,,3,9,146,76,53,01101,
ALABAMA - Metropolitan Counties,Russell,55,3,10,,1,41,375,122,219,01113,
ALABAMA - Metropolitan Counties,Tuscaloosa,223,6,7,,26,184,1446,461,872,01125,
ALABAMA - Nonmetropolitan Counties,Barbour,21,1,2,,2,16,115,43,63,01005,
ALABAMA - Nonmetropolitan Counties,Butler,35,1,6,,0,28,141,49,85,01013,
ALABAMA - Nonmetropolitan Counties,Chambers,4,0,0,,0,4,120,69,45,01017,
ALABAMA - Nonmetropolitan Counties,Cherokee,64,1,12,,1,50,448,169,250,01019,
ALABAMA - Nonmetropolitan Counties,Choctaw,7,0,0,,0,7,42,19,22,01023,
ALABAMA - Nonmetropolitan Counties,Clarke,56,0,6,,4,46,135,62,57,01025,
ALABAMA - Nonmetropolitan Counties,Cleburne,3,0,0,,0,3,100,38,61,01029,
ALABAMA - Nonmetropolitan Counties,Coffee,22,0,2,,2,18,174,68,90,01031,
ALABAMA - Nonmetropolitan Counties,Conecuh,28,1,4,,1,22,89,29,54,01035,
ALABAMA - Nonmetropolitan Counties,Coosa,13,0,2,,1,10,212,82,119,01037,
ALABAMA - Nonmetropolitan Counties,Covington,50,0,17,,1,32,381,105,246,01039,
ALABAMA - Nonmetropolitan Counties,Crenshaw,54,2,9,,4,39,153,68,71,01041,
ALABAMA - Nonmetropolitan Counties,Cullman,53,3,33,,1,16,929,310,563,01043,
ALABAMA - Nonmetropolitan Counties,Dale,34,1,9,,0,24,163,43,107,01045,
ALABAMA - Nonmetropolitan Counties,Dallas,60,2,9,,6,43,509,176,305,01047,
ALABAMA - Nonmetropolitan Counties,De Kalb,157,2,31,,3,121,801,333,395,01049,
ALABAMA - Nonmetropolitan Counties,Fayette,8,0,1,,1,6,97,31,58,01057,
ALABAMA - Nonmetropolitan Counties,Franklin,47,1,8,,4,34,285,102,173,01059,
ALABAMA - Nonmetropolitan Counties,Greene,35,1,1,,3,30,92,32,48,01063,
ALABAMA - Nonmetropolitan Counties,Jackson,100,1,33,,1,65,577,220,298,01071,
ALABAMA - Nonmetropolitan Counties,Macon,28,0,2,,6,20,189,84,88,01087,
ALABAMA - Nonmetropolitan Counties,Marengo,35,1,2,,2,30,194,72,107,01091,
ALABAMA - Nonmetropolitan Counties,Marion,22,1,2,,0,19,168,59,97,01093,
ALABAMA - Nonmetropolitan Counties,Monroe,20,0,0,,1,19,121,50,65,01099,
ALABAMA - Nonmetropolitan Counties,Pike,18,1,3,,2,12,107,29,71,01109,
ALABAMA - Nonmetropolitan Counties,Randolph,7,0,1,,0,6,176,81,94,01111,
ALABAMA - Nonmetropolitan Counties,Sumter,21,2,1,,3,15,71,30,37,01119,
ALABAMA - Nonmetropolitan Counties,Talladega,79,1,11,,11,56,858,315,479,01121,
ALABAMA - Nonmetropolitan Counties,Tallapoosa,21,2,10,,0,9,186,75,103,01123,
ALABAMA - Nonmetropolitan Counties,Washington,34,0,1,,0,33,165,55,97,01129,
ALABAMA - Nonmetropolitan Counties,Wilcox,29,2,2,,2,23,79,15,56,01131,
ALABAMA - Nonmetropolitan Counties,Winston,26,2,5,,0,19,168,86,74,01133,
ARIZONA - Metropolitan Counties,Cochise,231,2,,9,9,211,706,106,558,04003,
ARIZONA - Metropolitan Counties,Coconino,109,1,,22,3,83,421,136,269,04005,
ARIZONA - Metropolitan Counties,Maricopa,1100,18,,79,78,925,5227,1231,3471,04013,
