State,County,Violent crime,Murder and nonnegligent manslaughter,Rape(revised definition)1,Rape(legacy definition)2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson3,idsubid,idsubid,
ALABAMA - Metropolitan Counties,Autauga,68,2,8,,6,52,414,170,199,45,,01001,01001,
ALABAMA - Metropolitan Counties,Baldwin,98,0,4,,18,76,662,230,405,27,,01003,01003,
ALABAMA - Metropolitan Counties,Bibb,4,0,1,,0,3,82,42,34,6,,01007,01007,
ALABAMA - Metropolitan Counties,Blount,90,0,6,,1,83,923,311,524,88,,01009,01009,
ALABAMA - Metropolitan Counties,Calhoun,15,0,3,,1,11,471,200,266,5,,01015,01015,
ALABAMA - Metropolitan Counties,Chilton,79,0,18,,2,59,532,223,260,49,,01021,01021,
ALABAMA - Metropolitan Counties,Colbert,58,0,16,,4,38,436,131,264,41,,01033,01033,
ALABAMA - Metropolitan Counties,Elmore,52,0,13,,11,28,868,357,452,59,,01051,01051,
ALABAMA - Metropolitan Counties,Etowah,86,0,22,,3,61,615,239,326,50,,01055,01055,
ALABAMA - Metropolitan Counties,Geneva,52,2,7,,0,43,150,76,60,14,,01061,01061,
ALABAMA - Metropolitan Counties,Hale,14,0,1,,0,13,98,35,53,10,,01065,01065,
ALABAMA - Metropolitan Counties,Henry,19,0,3,,2,14,129,56,62,11,,01067,01067,
ALABAMA - Metropolitan Counties,Houston,80,1,20,,6,53,515,164,307,44,,01069,01069,
ALABAMA - Metropolitan Counties,Lawrence,66,1,11,,8,46,435,142,247,46,,01079,01079,
ALABAMA - Metropolitan Counties,Limestone,82,0,11,,2,69,585,188,362,35,,01083,01083,
ALABAMA - Metropolitan Counties,Lowndes,49,2,10,,3,34,241,114,106,21,,01085,01085,
ALABAMA - Metropolitan Counties,Madison,342,6,55,,50,231,2175,637,1370,168,,01089,01089,
ALABAMA - Metropolitan Counties,Mobile,139,3,26,,15,95,2079,670,1201,208,,01097,01097,
ALABAMA - Metropolitan Counties,Montgomery,20,0,5,,7,8,220,94,104,22,,01101,01101,
ALABAMA - Metropolitan Counties,Russell,43,4,10,,4,25,453,159,255,39,,01113,01113,
ALABAMA - Metropolitan Counties,St. Clair,29,0,4,,1,24,268,185,83,0,,01115,01115,
ALABAMA - Metropolitan Counties,Tuscaloosa,213,3,19,,20,171,1284,366,790,128,,01125,01125,
ALABAMA - Metropolitan Counties,Walker,103,1,12,,10,80,1058,339,580,139,,01127,01127,
ALABAMA - Nonmetropolitan Counties,Barbour,17,2,2,,2,11,128,68,55,5,,01005,01005,
ALABAMA - Nonmetropolitan Counties,Bullock,15,0,0,,3,12,84,65,15,4,,01011,01011,
ALABAMA - Nonmetropolitan Counties,Butler,44,1,7,,4,32,214,93,113,8,,01013,01013,
ALABAMA - Nonmetropolitan Counties,Chambers,4,0,0,,2,2,96,52,43,1,,01017,01017,
ALABAMA - Nonmetropolitan Counties,Cherokee,49,2,8,,2,37,388,131,216,41,,01019,01019,
ALABAMA - Nonmetropolitan Counties,Clarke,72,0,6,,4,62,113,48,49,16,,01025,01025,
ALABAMA - Nonmetropolitan Counties,Clay,17,0,1,,0,16,31,10,17,4,,01027,01027,
ALABAMA - Nonmetropolitan Counties,Coffee,28,0,7,,2,19,203,80,96,27,,01031,01031,
ALABAMA - Nonmetropolitan Counties,Coosa,13,0,1,,0,12,201,74,121,6,,01037,01037,
ALABAMA - Nonmetropolitan Counties,Covington,22,0,4,,0,18,210,76,115,19,,01039,01039,
ALABAMA - Nonmetropolitan Counties,Crenshaw,52,1,3,,2,46,143,56,73,14,,01041,01041,
ALABAMA - Nonmetropolitan Counties,Cullman,84,2,34,,8,40,1030,297,646,87,,01043,01043,
ALABAMA - Nonmetropolitan Counties,Dale,29,1,9,,0,19,190,55,119,16,,01045,01045,
ALABAMA - Nonmetropolitan Counties,Dallas,65,2,10,,9,44,462,182,251,29,,01047,01047,
ALABAMA - Nonmetropolitan Counties,DeKalb,128,2,28,,4,94,810,312,427,71,,01049,01049,
ALABAMA - Nonmetropolitan Counties,Escambia,24,0,0,,6,18,133,47,78,8,,01053,01053,
ALABAMA - Nonmetropolitan Counties,Franklin,26,0,5,,1,20,317,127,166,24,,01059,01059,
ALABAMA - Nonmetropolitan Counties,Greene,24,1,1,,4,18,90,33,46,11,,01063,01063,
ALABAMA - Nonmetropolitan Counties,Jackson,81,3,20,,0,58,588,264,274,50,,01071,01071,
ALABAMA - Nonmetropolitan Counties,Lamar,16,0,2,,0,14,29,9,18,2,,01075,01075,
ALABAMA - Nonmetropolitan Counties,Macon,24,0,4,,7,13,151,64,78,9,,01087,01087,
ALABAMA - Nonmetropolitan Counties,Marengo,33,0,3,,3,27,178,64,102,12,,01091,01091,
ALABAMA - Nonmetropolitan Counties,Marion,30,1,5,,2,22,188,66,110,12,,01093,01093,
ALABAMA - Nonmetropolitan Counties,Marshall,47,0,9,,3,35,447,220,203,24,,01095,01095,
ALABAMA - Nonmetropolitan Counties,Monroe,34,0,0,,1,33,136,40,85,11,,01099,01099,
ALABAMA - Nonmetropolitan Counties,Pike,15,0,1,,1,13,155,38,105,12,,01109,01109,
ALABAMA - Nonmetropolitan Counties,Randolph,2,0,0,,0,2,169,81,87,1,,01111,01111,
ALABAMA - Nonmetropolitan Counties,Talladega,74,0,1,,10,63,901,340,492,69,,01121,01121,
ALABAMA - Nonmetropolitan Counties,Tallapoosa,19,0,9,,0,10,146,71,63,12,,01123,01123,
ALABAMA - Nonmetropolitan Counties,Washington,22,0,2,,0,20,86,25,52,9,,01129,01129,
ALABAMA - Nonmetropolitan Counties,Wilcox,52,2,0,,3,47,105,38,62,5,,01131,01131,
ALABAMA - Nonmetropolitan Counties,Winston,15,0,6,,0,9,86,35,47,4,,01133,01133,
ARIZONA - Metropolitan Counties,Coconino,91,3,17,,3,68,459,147,300,12,39,04005,04005,
ARIZONA - Metropolitan Counties,Maricopa,1114,17,80,,81,936,5022,1195,3351,476,50,04013,04013,
ARIZONA - Metropolitan Counties,Mohave,163,3,46,,23,91,2155,809,1186,160,23,04015,04015,
ARIZONA - Metropolitan Counties,Pima,976,12,69,,161,734,9199,1898,6697,604,64,04019,04019,
ARIZONA - Metropolitan Counties,Pinal,194,7,56,,16,115,3015,530,2125,360,13,04021,04021,
ARIZONA - Metropolitan Counties,Yuma,152,5,14,,12,121,1126,510,537,79,16,04027,04027,
ARIZONA - Nonmetropolitan Counties,Apache,60,0,4,,0,56,205,112,90,3,71,04001,04001,
ARIZONA - Nonmetropolitan Counties,Gila,76,0,1,,1,74,398,119,247,32,8,04007,04007,
ARIZONA - Nonmetropolitan Counties,Graham,118,0,0,,18,100,181,83,77,21,4,04009,04009,
ARIZONA - Nonmetropolitan Counties,La Paz,26,1,2,,2,21,424,149,240,35,1,04012,04012,
ARIZONA - Nonmetropolitan Counties,Navajo,69,0,4,,1,64,499,255,207,37,1,04017,04017,
ARIZONA - Nonmetropolitan Counties,Santa Cruz,8,0,1,,2,5,234,95,108,31,0,04023,04023,
